Ridge Regression with Cross Validation


0  =>  (389, 14) (389, 1) (44, 14) (44, 1)
Run 0 	 lambda  0.0001 CV MSE_train  21.0413701309 CV MSE_test  [ 17.58499701]
Run 0 	 lambda  0.00015 CV MSE_train  21.0413701309 CV MSE_test  [ 17.58499438]
Run 0 	 lambda  0.000225 CV MSE_train  21.041370131 CV MSE_test  [ 17.58499044]
Run 0 	 lambda  0.0003375 CV MSE_train  21.0413701311 CV MSE_test  [ 17.58498453]
Run 0 	 lambda  0.00050625 CV MSE_train  21.0413701313 CV MSE_test  [ 17.58497567]
Run 0 	 lambda  0.000759375 CV MSE_train  21.0413701319 CV MSE_test  [ 17.58496237]
Run 0 	 lambda  0.0011390625 CV MSE_train  21.0413701332 CV MSE_test  [ 17.58494242]
Run 0 	 lambda  0.00170859375 CV MSE_train  21.0413701361 CV MSE_test  [ 17.5849125]
Run 0 	 lambda  0.002562890625 CV MSE_train  21.0413701426 CV MSE_test  [ 17.58486762]
Run 0 	 lambda  0.0038443359375 CV MSE_train  21.0413701573 CV MSE_test  [ 17.58480031]
Run 0 	 lambda  0.00576650390625 CV MSE_train  21.0413701904 CV MSE_test  [ 17.58469936]
Run 0 	 lambda  0.00864975585938 CV MSE_train  21.0413702647 CV MSE_test  [ 17.58454798]
Run 0 	 lambda  0.0129746337891 CV MSE_train  21.0413704319 CV MSE_test  [ 17.584321]
Run 0 	 lambda  0.0194619506836 CV MSE_train  21.0413708079 CV MSE_test  [ 17.58398073]
Run 0 	 lambda  0.0291929260254 CV MSE_train  21.0413716532 CV MSE_test  [ 17.58347077]
Run 0 	 lambda  0.0437893890381 CV MSE_train  21.0413735529 CV MSE_test  [ 17.58270685]
Run 0 	 lambda  0.0656840835571 CV MSE_train  21.0413778198 CV MSE_test  [ 17.58156324]
Run 0 	 lambda  0.0985261253357 CV MSE_train  21.0413873952 CV MSE_test  [ 17.57985292]
Run 0 	 lambda  0.147789188004 CV MSE_train  21.0414088553 CV MSE_test  [ 17.57729883]
Run 0 	 lambda  0.221683782005 CV MSE_train  21.0414568578 CV MSE_test  [ 17.57349313]
Run 0 	 lambda  0.332525673008 CV MSE_train  21.0415639208 CV MSE_test  [ 17.5678411]
Run 0 	 lambda  0.498788509512 CV MSE_train  21.0418016879 CV MSE_test  [ 17.55948793]
Run 0 	 lambda  0.748182764268 CV MSE_train  21.0423263999 CV MSE_test  [ 17.54723159]
Run 0 	 lambda  1.1222741464 CV MSE_train  21.0434737203 CV MSE_test  [ 17.52943785]
Run 0 	 lambda  1.6834112196 CV MSE_train  21.0459493024 CV MSE_test  [ 17.50399973]
Run 0 	 lambda  2.5251168294 CV MSE_train  21.0511915187 CV MSE_test  [ 17.4684262]
Run 0 	 lambda  3.78767524411 CV MSE_train  21.0620096105 CV MSE_test  [ 17.42019535]
Run 0 	 lambda  5.68151286616 CV MSE_train  21.083587775 CV MSE_test  [ 17.35751791]
Run 0 	 lambda  8.52226929924 CV MSE_train  21.1248441282 CV MSE_test  [ 17.28054731]
Run 0 	 lambda  10 CV MSE_train  21.1494295785 CV MSE_test  [ 17.24689542]
Run 0 	 lambda  0.0 CV MSE_train  21.0413701309 CV MSE_test  [ 17.58500227]


1  =>  (389, 14) (389, 1) (44, 14) (44, 1)
Run 1 	 lambda  0.0001 CV MSE_train  22.3759444578 CV MSE_test  [ 9.0404972]
Run 1 	 lambda  0.00015 CV MSE_train  22.3759444578 CV MSE_test  [ 9.04049578]
Run 1 	 lambda  0.000225 CV MSE_train  22.3759444579 CV MSE_test  [ 9.04049364]
Run 1 	 lambda  0.0003375 CV MSE_train  22.375944458 CV MSE_test  [ 9.04049044]
Run 1 	 lambda  0.00050625 CV MSE_train  22.3759444582 CV MSE_test  [ 9.04048564]
Run 1 	 lambda  0.000759375 CV MSE_train  22.3759444588 CV MSE_test  [ 9.04047845]
Run 1 	 lambda  0.0011390625 CV MSE_train  22.3759444599 CV MSE_test  [ 9.04046765]
Run 1 	 lambda  0.00170859375 CV MSE_train  22.3759444626 CV MSE_test  [ 9.04045145]
Run 1 	 lambda  0.002562890625 CV MSE_train  22.3759444687 CV MSE_test  [ 9.04042717]
Run 1 	 lambda  0.0038443359375 CV MSE_train  22.3759444823 CV MSE_test  [ 9.04039074]
Run 1 	 lambda  0.00576650390625 CV MSE_train  22.3759445129 CV MSE_test  [ 9.04033611]
Run 1 	 lambda  0.00864975585938 CV MSE_train  22.3759445818 CV MSE_test  [ 9.04025419]
Run 1 	 lambda  0.0129746337891 CV MSE_train  22.3759447368 CV MSE_test  [ 9.04013137]
Run 1 	 lambda  0.0194619506836 CV MSE_train  22.3759450853 CV MSE_test  [ 9.03994728]
Run 1 	 lambda  0.0291929260254 CV MSE_train  22.3759458688 CV MSE_test  [ 9.03967146]
Run 1 	 lambda  0.0437893890381 CV MSE_train  22.3759476296 CV MSE_test  [ 9.03925843]
Run 1 	 lambda  0.0656840835571 CV MSE_train  22.3759515847 CV MSE_test  [ 9.03864045]
Run 1 	 lambda  0.0985261253357 CV MSE_train  22.375960461 CV MSE_test  [ 9.037717]
Run 1 	 lambda  0.147789188004 CV MSE_train  22.3759803561 CV MSE_test  [ 9.03633967]
Run 1 	 lambda  0.221683782005 CV MSE_train  22.3760248641 CV MSE_test  [ 9.03429121]
Run 1 	 lambda  0.332525673008 CV MSE_train  22.3761241534 CV MSE_test  [ 9.03125747]
Run 1 	 lambda  0.498788509512 CV MSE_train  22.3763447253 CV MSE_test  [ 9.02679283]
Run 1 	 lambda  0.748182764268 CV MSE_train  22.3768317201 CV MSE_test  [ 9.02028393]
Run 1 	 lambda  1.1222741464 CV MSE_train  22.3778973316 CV MSE_test  [ 9.01092637]
Run 1 	 lambda  1.6834112196 CV MSE_train  22.380199119 CV MSE_test  [ 8.99774876]
Run 1 	 lambda  2.5251168294 CV MSE_train  22.3850814367 CV MSE_test  [ 8.9797496]
Run 1 	 lambda  3.78767524411 CV MSE_train  22.3951824354 CV MSE_test  [ 8.95625062]
Run 1 	 lambda  5.68151286616 CV MSE_train  22.4154076048 CV MSE_test  [ 8.92758696]
Run 1 	 lambda  8.52226929924 CV MSE_train  22.4542955223 CV MSE_test  [ 8.89621247]
Run 1 	 lambda  10 CV MSE_train  22.4775811482 CV MSE_test  [ 8.88426822]
Run 1 	 lambda  0.0 CV MSE_train  22.3759444578 CV MSE_test  [ 9.04050004]


2  =>  (389, 14) (389, 1) (44, 14) (44, 1)
Run 2 	 lambda  0.0001 CV MSE_train  20.8118191493 CV MSE_test  [ 21.84732074]
Run 2 	 lambda  0.00015 CV MSE_train  20.8118191494 CV MSE_test  [ 21.84732321]
Run 2 	 lambda  0.000225 CV MSE_train  20.8118191494 CV MSE_test  [ 21.84732693]
Run 2 	 lambda  0.0003375 CV MSE_train  20.8118191495 CV MSE_test  [ 21.8473325]
Run 2 	 lambda  0.00050625 CV MSE_train  20.8118191497 CV MSE_test  [ 21.84734085]
Run 2 	 lambda  0.000759375 CV MSE_train  20.8118191501 CV MSE_test  [ 21.84735338]
Run 2 	 lambda  0.0011390625 CV MSE_train  20.811819151 CV MSE_test  [ 21.84737218]
Run 2 	 lambda  0.00170859375 CV MSE_train  20.8118191531 CV MSE_test  [ 21.84740037]
Run 2 	 lambda  0.002562890625 CV MSE_train  20.8118191579 CV MSE_test  [ 21.84744266]
Run 2 	 lambda  0.0038443359375 CV MSE_train  20.8118191687 CV MSE_test  [ 21.84750609]
Run 2 	 lambda  0.00576650390625 CV MSE_train  20.8118191928 CV MSE_test  [ 21.84760123]
Run 2 	 lambda  0.00864975585938 CV MSE_train  20.8118192472 CV MSE_test  [ 21.84774394]
Run 2 	 lambda  0.0129746337891 CV MSE_train  20.8118193695 CV MSE_test  [ 21.84795797]
Run 2 	 lambda  0.0194619506836 CV MSE_train  20.8118196445 CV MSE_test  [ 21.84827898]
Run 2 	 lambda  0.0291929260254 CV MSE_train  20.8118202628 CV MSE_test  [ 21.8487604]
Run 2 	 lambda  0.0437893890381 CV MSE_train  20.8118216526 CV MSE_test  [ 21.84948228]
Run 2 	 lambda  0.0656840835571 CV MSE_train  20.8118247749 CV MSE_test  [ 21.85056459]
Run 2 	 lambda  0.0985261253357 CV MSE_train  20.8118317839 CV MSE_test  [ 21.85218687]
Run 2 	 lambda  0.147789188004 CV MSE_train  20.8118474996 CV MSE_test  [ 21.85461765]
Run 2 	 lambda  0.221683782005 CV MSE_train  20.8118826778 CV MSE_test  [ 21.8582579]
Run 2 	 lambda  0.332525673008 CV MSE_train  20.8119612207 CV MSE_test  [ 21.863705]
Run 2 	 lambda  0.498788509512 CV MSE_train  20.8121359248 CV MSE_test  [ 21.87184592]
Run 2 	 lambda  0.748182764268 CV MSE_train  20.8125223717 CV MSE_test  [ 21.88399104]
Run 2 	 lambda  1.1222741464 CV MSE_train  20.8133703052 CV MSE_test  [ 21.90206177]
